Source,Error,Survey End Date,CON (%),LAB (%),LD (%),UKIP (%),Grn (%),Con Lead
Populus,,2008-04-16,40,30,19,,,
ICM,,2008-04-18,39,34,19,,,
Ipsos-Mori,,2008-04-18,40,31,19,,,
YouGov,,2008-04-21,44,26,17,,,
ICM,,2008-04-23,39,29,20,,,
ComRes,,2008-04-25,40,26,20,,,
Populus,,2008-05-02,40,29,19,,,
YouGov,,2008-05-07,49,23,17,,,
YouGov,,2008-05-15,45,25,18,,,
Ipsos-Mori,,2008-05-15,45,32,14,,,
ICM,,2008-05-16,42,27,22,,,
YouGov,,2008-05-27,47,23,18,,,
ComRes,,2008-05-30,44,30,16,,,
ICM,,2008-06-04,42,26,21,,,
Populus,,2008-06-06,45,25,20,,,
ComRes,,2008-06-11,44,26,17,,,
YouGov,,2008-06-12,47,25,18,,,
Ipsos-Mori,,2008-06-13,45,28,16,,,
ICM,,2008-06-20,45,25,20,,,
YouGov,,2008-06-23,46,28,15,,,
ComRes,,2008-06-25,46,25,18,,,
Populus,,2008-07-04,41,28,19,,,
YouGov,,2008-07-10,47,25,16,,,
ComRes,,2008-07-16,45,24,16,,,
ICM,,2008-07-18,43,28,19,,,
Ipsos-Mori,,2008-07-18,47,27,15,,,
YouGov,,2008-07-23,45,26,17,,,
Populus,,2008-07-25,43,27,18,,,
YouGov,,2008-07-29,47,25,16,,,
ICM,,2008-07-30,45,29,16,,,
YouGov,,2008-08-14,45,25,18,,,
ICM,,2008-08-15,44,29,19,,,
Ipsos-Mori,,2008-08-15,48,24,17,,,
ComRes,,2008-08-20,46,25,16,,,
YouGov,,2008-08-26,45,26,16,,,
Populus,,2008-08-29,43,27,18,,,
ComRes,,2008-09-03,44,25,17,,,
YouGov,,2008-09-10,46,27,16,,,
Ipsos-Mori,,2008-09-12,52,24,12,,,
ComRes,,2008-09-15,39,27,21,,,
YouGov,,2008-09-17,44,24,20,,,
YouGov,,2008-09-23,41,31,16,,,
ICM,,2008-09-24,41,32,18,,,
ComRes,,2008-09-26,41,29,18,,,
ICM,,2008-10-01,42,30,17,,,
YouGov,,2008-10-01,45,31,15,,,
Populus,,2008-10-03,45,30,15,,,
ICM,,2008-10-03,42,30,17,,,
Populus,,2008-10-07,45,30,15,,,
ComRes,,2008-10-19,40,31,16,,,
ICM,,2008-10-21,42,30,21,,,
Ipsos-Mori,,2008-10-22,45,30,14,,,
ComRes,,2008-10-28,39,31,16,,,
ICM,,2008-11-09,43,30,18,,,
Populus,,2008-11-11,41,35,16,,,
YouGov,,2008-11-13,41,36,14,,,
Ipsos-Mori,,2008-11-18,40,37,12,,,
ICM,,2008-11-23,42,31,19,,,
ComRes,,2008-11-26,43,32,12,,,
ICM,,2008-11-29,45,30,18,,,
Ipsos-Mori,,2008-11-30,43,32,15,,,
ComRes,,2008-12-02,37,36,17,,,
Populus,,2008-12-09,39,35,17,,,
YouGov,,2008-12-11,41,35,15,,,
ComRes,,2008-12-14,37,36,14,,,
Ipsos-Mori,,2008-12-15,41,36,11,,,
ICM,,2008-12-17,38,33,19,,,
Ipsos-Mori,,2008-12-17,39,35,15,,,
ComRes,,2008-12-23,39,34,16,,,
Populus,,2009-01-13,43,33,15,,,
ComRes,,2009-01-18,41,32,15,,,
Ipsos-Mori,,2009-01-19,44,30,17,,,
ComRes,,2009-01-26,43,28,16,,,
ICM,,2009-01-27,44,32,16,,,
ICM,,2009-02-08,40,28,22,,,
Populus,,2009-02-10,42,28,18,,,
YouGov,,2009-02-12,44,32,14,,,
ComRes,,2009-02-15,41,25,22,,,
Ipsos-Mori,,2009-02-17,48,28,17,,,
ICM,,2009-02-24,42,30,18,,,
ComRes,,2009-03-03,44,28,17,,,
Populus,,2009-03-10,42,30,19,,,
YouGov,,2009-03-12,41,31,17,,,
Ipsos-Mori,,2009-03-17,42,32,14,,,
ICM,,2009-03-18,42,30,20,,,
ComRes,,2009-03-22,41,30,17,,,
ICM,,2009-03-29,44,31,18,,,
ComRes,,2009-03-31,40,28,18,,,
YouGov,,2009-04-03,41,34,16,,,
Populus,,2009-04-06,43,30,18,,,
ICM,,2009-04-21,40,30,18,,,
ComRes,,2009-04-27,45,26,17,,,
YouGov,,2009-05-07,43,27,18,,,
Populus,,2009-05-12,39,26,22,,,
ComRes,,2009-05-17,40,21,18,,,
ICM,,2009-05-19,39,28,20,,,
Populus,,2009-05-30,41,21,15,,,
ICM,,2009-05-31,40,22,25,,,
Ipsos-Mori,,2009-06-01,40,18,18,,,
YouGov,,2009-06-02,43,27,18,,,
ComRes,,2009-06-02,30,22,18,,,
ComRes,,2009-06-09,38,22,20,,,
Populus,,2009-06-12,36,24,19,,,
Ipsos-Mori,,2009-06-15,39,25,19,,,
ICM,,2009-06-16,39,27,18,,,
ComRes,,2009-06-21,39,22,18,,,
Ipsos-Mori,,2009-06-23,38,21,19,,,
ComRes,,2009-06-29,36,25,19,,,
ICM,,2009-07-14,41,27,20,,,
YouGov,,2009-07-16,42,25,18,,,
ComRes,,2009-07-19,38,23,22,,,
Ipsos-Mori,,2009-07-21,40,24,18,,,
Populus,,2009-07-22,38,26,20,,,
ComRes,,2009-07-29,42,24,18,,,
YouGov,,2009-08-13,42,28,18,,,
ICM,,2009-08-16,43,26,19,,,
ComRes,,2009-08-23,41,24,18,,,
ICM,,2009-08-25,41,25,19,,,
Ipsos-Mori,,2009-08-31,43,26,17,,,
YouGov,,2009-09-04,40,27,18,,,
ComRes,,2009-09-08,40,24,21,,,
Populus,,2009-09-15,41,27,18,,,
YouGov,,2009-09-21,39,30,17,,,
YouGov,,2009-09-22,39,27,20,,,
ICM,,2009-09-22,43,26,19,,,
YouGov,,2009-09-23,38,28,19,,,
YouGov,,2009-09-24,38,25,23,,,
YouGov,,2009-09-25,40,24,21,,,
YouGov,,2009-09-28,39,29,20,,,
YouGov,,2009-09-29,40,29,18,,,
YouGov,,2009-09-30,37,30,21,,,
YouGov,,2009-10-01,40,26,20,,,
YouGov,,2009-10-02,41,29,17,,,
ComRes,,2009-10-04,40,28,19,,,
YouGov,,2009-10-05,40,27,20,,,
YouGov,,2009-10-06,41,28,18,,,
YouGov,,2009-10-07,43,29,17,,,
YouGov,,2009-10-08,40,31,18,,,
YouGov,,2009-10-09,44,27,17,,,
ICM,,2009-10-11,45,26,18,,,
Populus,,2009-10-13,40,30,18,,,
ComRes,,2009-10-18,40,28,19,,,
YouGov,,2009-10-19,41,30,17,,,
Ipsos-Mori,,2009-10-20,43,26,19,,,
ICM,,2009-10-20,44,27,18,,,
ICM,,2009-10-21,44,27,18,,,
ComRes,,2009-10-27,40,27,18,,,
ICM,,2009-11-01,42,25,22,,,
YouGov,,2009-11-03,41,28,16,,,
Populus,,2009-11-10,39,29,18,,,
ComRes,,2009-11-15,39,25,17,,,
YouGov,,2009-11-16,41,27,18,,,
ICM,,2009-11-17,42,29,19,,,
Ipsos-Mori,,2009-11-22,37,31,17,,,
ComRes,,2009-12-01,37,27,20,,,
Populus,,2009-12-04,38,30,20,,,
YouGov,,2009-12-07,40,27,18,,,
ComRes,,2009-12-13,41,24,21,,,
YouGov,,2009-12-14,40,31,16,,,
ICM,,2009-12-15,40,31,18,,,
Ipsos-Mori,,2009-12-20,43,26,20,,,
YouGov,,2009-12-21,40,28,18,,,
ComRes,,2009-12-22,38,29,19,,,
YouGov,,2009-12-30,40,30,17,,,
YouGov,,2010-01-07,40,31,17,,,
YouGov,,2010-01-08,42,30,16,,,
ICM,,2010-01-09,40,30,18,,,
Populus,,2010-01-12,41,28,19,,,
YouGov,,2010-01-17,40,31,18,,,
ComRes,,2010-01-17,42,29,19,,,
ComRes,,2010-01-24,38,29,19,,,
ICM,,2010-01-26,40,29,21,,,
YouGov,,2010-01-28,40,31,18,,,
YouGov,,2010-01-29,38,31,19,,,
Ipsos-Mori,,2010-01-30,40,32,16,,,
ComRes,,2010-02-02,38,31,19,,,
ICM,,2010-02-07,39,30,20,,,
Populus,,2010-02-08,40,30,20,,,
ComRes,,2010-02-14,40,29,21,,,
YouGov,,2010-02-18,39,30,18,,,
YouGov,,2010-02-21,39,33,17,,,
ICM,,2010-02-23,37,30,20,,,
YouGov,,2010-02-24,38,32,17,,,
Harris,,2010-02-25,39,30,22,,,
Ipsos-Mori,,2010-02-25,37,32,19,,,
YouGov,,2010-02-26,39,33,16,,,
YouGov,,2010-02-28,37,35,17,,,
ComRes,,2010-03-02,37,32,19,,,
YouGov,,2010-03-03,38,33,16,,,
ICM,,2010-03-06,40,31,18,,,
YouGov,,2010-03-09,39,34,16,,,
Harris,,2010-03-10,37,29,18,,,
YouGov,,2010-03-11,37,32,17,,,
ICM,,2010-03-14,38,31,21,,,
ICM,,2010-03-15,40,31,20,,,
YouGov,,2010-03-17,37,32,19,,,
Harris,,2010-03-19,36,28,18,,,
ICM,,2010-03-21,38,32,19,,,
YouGov,,2010-03-21,38,31,19,,,
Harris,,2010-03-24,35,28,17,,,
Ipsos-Mori,,2010-03-24,35,30,21,,,
YouGov,,2010-03-24,36,34,17,,,
YouGov,,2010-03-25,37,33,18,,,
ICM,,2010-03-28,39,31,19,,,
YouGov,,2010-03-28,37,32,19,,,
ComRes,,2010-03-29,37,30,20,,,
YouGov,,2010-03-30,39,32,18,,,
YouGov,,2010-03-31,38,31,19,,,
Harris,,2010-04-01,37,27,19,,,
YouGov,,2010-04-01,38,32,19,,,
ICM,,2010-04-01,38,29,23,,,
YouGov,,2010-04-02,39,31,19,,,
YouGov,,2010-04-04,39,29,20,,,
ICM,,2010-04-05,37,33,21,,,
YouGov,,2010-04-06,41,31,18,,,
YouGov,,2010-04-07,40,32,17,,,
Populus,,2010-04-08,39,32,21,,,
YouGov,,2010-04-08,37,32,19,,,
YouGov,,2010-04-09,40,31,18,,,
Harris,,2010-04-09,37,28,20,,,
YouGov,,2010-04-10,40,30,20,,,
YouGov,,2010-04-11,40,32,18,,,
ComRes,,2010-04-11,39,32,16,,,
ICM,,2010-04-11,38,30,21,,,
ICM,,2010-04-12,37,31,20,,,
YouGov,,2010-04-12,37,31,20,,,
ComRes,,2010-04-12,37,30,20,,,
YouGov,,2010-04-13,39,33,20,,,
Populus,,2010-04-13,36,33,21,,,
ComRes,,2010-04-13,36,31,19,,,
YouGov,,2010-04-14,39,31,20,,,
ComRes,,2010-04-14,35,29,21,,,
YouGov,,2010-04-15,41,32,18,,,
YouGov,,2010-04-16,37,31,22,,,
YouGov,,2010-04-17,33,28,30,,,
ICM,,2010-04-18,34,29,27,,,
ComRes,,2010-04-18,31,27,29,,,
YouGov,,2010-04-18,33,30,29,,,
YouGov,,2010-04-19,32,26,33,,,
ICM,,2010-04-19,33,28,30,,,
ComRes,,2010-04-19,32,28,28,,,
ComRes,,2010-04-20,35,26,26,,,
YouGov,,2010-04-20,33,27,31,,,
Populus,,2010-04-21,32,28,31,,,
ComRes,,2010-04-21,35,25,27,,,
Ipsos-Mori,,2010-04-21,32,28,32,,,
Harris,,2010-04-21,31,26,30,,,
YouGov,,2010-04-21,31,26,34,,,
YouGov,,2010-04-22,33,27,31,,,
YouGov,,2010-04-23,34,29,28,,,
Ipsos-Mori,,2010-04-25,36,30,23,,,
ICM,,2010-04-25,35,26,31,,,
YouGov,,2010-04-25,35,27,28,,,
ComRes,,2010-04-25,34,28,29,,,
YouGov,,2010-04-26,34,28,30,,,
ICM,,2010-04-26,33,28,30,,,
ComRes,,2010-04-26,32,28,31,,,
YouGov,,2010-04-27,33,28,29,,,
ComRes,,2010-04-27,33,29,29,,,
YouGov,,2010-04-28,33,29,28,,,
Populus,,2010-04-28,36,27,28,,,
ComRes,,2010-04-28,36,29,26,,,
YouGov,,2010-04-29,34,27,31,,,
Harris,,2010-04-30,33,24,32,,,
YouGov,,2010-04-30,34,27,28,,,
YouGov,,2010-05-01,34,28,28,,,
ComRes,,2010-05-02,38,28,25,,,
YouGov,,2010-05-02,35,27,28,,,
ICM,,2010-05-02,36,29,27,,,
YouGov,,2010-05-03,34,28,29,,,
ICM,,2010-05-03,33,28,28,,,
ComRes,,2010-05-03,37,29,26,,,
YouGov,,2010-05-04,35,28,28,,,
YouGov,,2010-05-05,35,30,24,,,
ComRes,,2010-05-05,37,29,26,,,
Populus,,2010-05-06,37,28,27,,,
YouGov,,2010-05-06,35,28,28,,,
Harris,,2010-05-06,35,29,27,,,
ICM,,2010-05-06,36,28,26,,,
ComRes,,2010-05-06,37,28,28,,,
ComRes/Independent on Sunday/S. Mirror,,2010-05-13,38 ,34 ,21,,,4
ICM/Sunday Telegraph,,2010-05-13,38 ,33 ,21,,,5
YouGov/Sunday Times,,2010-05-14,37 ,34 ,21,,,3
YouGov,,2010-05-16,37,34,21,,,
ComRes,,2010-05-16,37,30,24,,,
Opinium/,,2010-05-21,38 ,29 ,21,,,9
YouGov/Sunday Times,,2010-05-21,39 ,32 ,21,,,7
YouGov,,2010-05-23,39,32,21,,,
ICM/Guardian,,2010-05-23,39 ,32 ,21,,,7
ICM,,2010-05-24,39,32,21,,,
ComRes/Independent,,2010-05-31,37 ,33 ,21,,,4
ComRes,,2010-06-02,37,33,21,,,
Opinium/,,2010-06-04,42 ,28 ,19,,,14
Harris/Metro,,2010-06-09,36 ,30 ,25,,,6
BPIX/Mail on Sunday,,2010-06-11,39 ,32 ,19,,,7
YouGov/Sunday Times,,2010-06-11,40 ,32 ,18,,,8
YouGov,,2010-06-13,40,32,18,,,
ComRes/Independent on Sunday,,2010-06-17,36 ,30 ,23,,,6
Opinium/,,2010-06-18,40 ,31 ,19,,,9
YouGov/Sunday Times,,2010-06-18,39 ,34 ,19,,,5
Ipsos-MORI/Reuters,,2010-06-20,39 ,31 ,19,,,8
ICM/Guardian,,2010-06-20,39 ,31 ,21,,,8
ComRes,,2010-06-20,36,30,23,,,
YouGov,,2010-06-20,39,34,19,,,
YouGov/Sun,,2010-06-21,41 ,33 ,18,,,8
YouGov,,2010-06-22,41,33,18,,,
YouGov/Sun,,2010-06-22,41 ,37 ,15,,,4
YouGov,,2010-06-23,41,37,15,,,
Populus,,2010-06-23,39,33,18,,,
Populus/Times,,2010-06-23,39 ,33 ,18,,,6
YouGov/Sun,,2010-06-23,42 ,34 ,17,,,8
YouGov/Sun,,2010-06-24,43 ,34 ,17,,,9
ICM/Sunday Telegraph,,2010-06-24,41 ,35 ,16,,,6
YouGov,,2010-06-24,42,34,17,,,
YouGov/Sunday Times,,2010-06-25,43 ,36 ,16,,,7
YouGov,,2010-06-25,43,34,17,,,
ComRes/Independent,,2010-06-27,40 ,31 ,18,,,9
YouGov,,2010-06-27,43,36,16,,,
YouGov/Sun,,2010-06-28,42 ,35 ,16,,,7
YouGov/Sun,,2010-06-29,42 ,36 ,15,,,6
YouGov,,2010-06-29,42,35,16,,,
ComRes,,2010-06-29,40,31,18,,,
YouGov/Sun,,2010-06-30,42 ,36 ,15,,,6
YouGov,,2010-06-30,42,36,15,,,
YouGov,,2010-07-01,42,36,15,,,
YouGov/Sun,,2010-07-01,42 ,35 ,16,,,7
Opinium/,,2010-07-02,37 ,33 ,18,,,4
YouGov,,2010-07-02,42,35,16,,,
YouGov/Sunday Times,,2010-07-02,41 ,36 ,16,,,5
YouGov,,2010-07-04,41,36,16,,,
YouGov/Sun,,2010-07-05,40 ,36 ,16,,,4
YouGov,,2010-07-06,40,36,16,,,
YouGov/Sun,,2010-07-06,41 ,36 ,15,,,5
YouGov/Sun,,2010-07-07,40 ,36 ,17,,,4
YouGov,,2010-07-07,41,36,15,,,
YouGov/Sun,,2010-07-08,42 ,35 ,16,,,7
YouGov,,2010-07-08,40,36,17,,,
YouGov/Sunday Times,,2010-07-09,42 ,34 ,17,,,6
Opinium/,,2010-07-09,38 ,34 ,16,,,4
YouGov,,2010-07-09,42,35,16,,,
YouGov,,2010-07-11,42,34,17,,,
YouGov/Sun,,2010-07-12,42 ,35 ,15,,,7
YouGov,,2010-07-13,42,35,15,,,
YouGov/Sun,,2010-07-13,42 ,35 ,15,,,7
YouGov,,2010-07-14,42,35,15,,,
YouGov/Sun,,2010-07-14,43 ,34 ,15,,,9
YouGov,,2010-07-15,43,34,15,,,
YouGov/Sun,,2010-07-15,43 ,34 ,15,,,9
YouGov,,2010-07-16,43,34,15,,,
YouGov/Sunday Times,,2010-07-16,40 ,37 ,15,,,3
YouGov,,2010-07-18,40,37,15,,,
YouGov/Sun,,2010-07-19,42 ,35 ,15,,,7
YouGov,,2010-07-20,42,35,15,,,
YouGov/Sun,,2010-07-20,43 ,35 ,14,,,8
YouGov/Sun,,2010-07-21,44 ,35 ,13,,,9
YouGov,,2010-07-21,43,35,14,,,
YouGov,,2010-07-22,44,35,13,,,
YouGov/Sun,,2010-07-22,43 ,35 ,15,,,8
YouGov,,2010-07-23,43,35,15,,,
YouGov/Sunday Times,,2010-07-23,41 ,36 ,14,,,5
Ipsos-MORI/Reuters,,2010-07-25,40 ,38 ,14,,,2
ICM/Guardian,,2010-07-25,38 ,34 ,19,,,4
Ipsos-Mori,,2010-07-25,40,38,14,,,
YouGov,,2010-07-25,41,36,14,,,
YouGov/Sun,,2010-07-26,42 ,35 ,15,,,7
YouGov/Sun,,2010-07-27,42 ,37 ,14,,,5
ICM,,2010-07-27,38,34,19,,,
YouGov,,2010-07-27,42,35,15,,,
YouGov/Sun,,2010-07-28,42 ,36 ,14,,,6
YouGov,,2010-07-28,42,37,14,,,
YouGov/Sun,,2010-07-29,41 ,35 ,15,,,6
YouGov,,2010-07-29,42,36,14,,,
YouGov/Sunday Times,,2010-07-30,42 ,38 ,12,,,4
YouGov,,2010-08-01,42,38,12,,,
YouGov/Sun,,2010-08-02,42 ,38 ,12,,,6
YouGov,,2010-08-03,42,38,12,,,
YouGov/Sun,,2010-08-03,41 ,36 ,13,,,5
YouGov,,2010-08-04,41,36,13,,,
YouGov/Sun,,2010-08-04,42 ,36 ,13,,,6
YouGov,,2010-08-05,42,36,13,,,
YouGov/Sun,,2010-08-05,44 ,36 ,13,,,8
YouGov,,2010-08-06,44,36,13,,,
YouGov/Sunday Times,,2010-08-06,42 ,36 ,13,,,6
YouGov,,2010-08-08,42,36,13,,,
ComRes/Independent,,2010-08-08,39 ,33 ,16,,,6
YouGov/Sun,,2010-08-09,40 ,36 ,15,,,4
ComRes,,2010-08-10,39,33,16,,,
YouGov/Sun,,2010-08-10,42 ,38 ,14,,,4
YouGov,,2010-08-10,40,36,15,,,
YouGov/Sun,,2010-08-11,41 ,37 ,15,,,4
YouGov,,2010-08-11,42,38,14,,,
YouGov/Sun,,2010-08-12,42 ,37 ,14,,,5
YouGov,,2010-08-12,41,37,15,,,
Harris,,2010-08-13,29,28,12,,,
Harris/Daily Mail,,2010-08-13,38 ,36 ,16,,,2
YouGov/Sunday Times,,2010-08-13,42 ,37 ,13,,,5
YouGov,,2010-08-13,42,37,14,,,
Opinium/,,2010-08-13,39 ,30 ,16,,,9
YouGov,,2010-08-15,42,37,13,,,
ICM/Guardian,,2010-08-15,37 ,37 ,18,,,0
ComRes/Mirror/GMTV,,2010-08-15,39 ,33 ,15,,,6
YouGov/Sun,,2010-08-16,41 ,37 ,15,,,4
YouGov/Sun,,2010-08-17,42 ,37 ,14,,,5
YouGov,,2010-08-17,41,37,15,,,
ICM,,2010-08-17,37,37,18,,,
YouGov/Sun,,2010-08-18,44 ,36 ,12,,,8
ComRes,,2010-08-18,39,33,15,,,
YouGov,,2010-08-18,41,37,15,,,
YouGov/Sun,,2010-08-19,41 ,37 ,14,,,4
YouGov,,2010-08-19,44,36,12,,,
YouGov/Sunday Times,,2010-08-20,41 ,38 ,12,,,3
YouGov,,2010-08-20,41,38,14,,,
YouGov,,2010-08-22,41,38,12,,,
YouGov/Sun,,2010-08-23,41 ,39 ,12,,,2
YouGov,,2010-08-24,41,39,12,,,
YouGov/Sun,,2010-08-24,41 ,38 ,13,,,3
YouGov,,2010-08-25,41,38,13,,,
YouGov/Sun,,2010-08-25,42 ,37 ,12,,,5
YouGov,,2010-08-26,42,37,12,,,
YouGov/Sun,,2010-08-26,42 ,37 ,12,,,5
YouGov,,2010-08-27,42,37,12,,,
YouGov/Sunday Times,,2010-08-27,41 ,37 ,13,,,4
YouGov,,2010-08-29,41,37,13,,,
YouGov/Sun,,2010-08-31,43 ,38 ,11,,,5
YouGov/Sun,,2010-09-01,43 ,37 ,12,,,6
YouGov,,2010-09-01,43,38,11,,,
YouGov/Sun,,2010-09-02,42 ,37 ,12,,,5
YouGov,,2010-09-02,43,37,12,,,
YouGov/Sunday Times,,2010-09-03,42 ,37 ,12,,,5
YouGov,,2010-09-03,42,37,12,,,
ComRes/Independent,,2010-09-05,38 ,34 ,18,,,4
YouGov,,2010-09-05,42,37,12,,,
YouGov/Sun,,2010-09-06,42 ,37 ,13,,,5
YouGov,,2010-09-07,42,37,13,,,
YouGov/Sun,,2010-09-07,42 ,38 ,13,,,4
YouGov/Sun,,2010-09-08,43 ,38 ,12,,,5
YouGov,,2010-09-08,43,38,12,,,
YouGov,,2010-09-09,43,38,12,,,
YouGov/Sun,,2010-09-09,42 ,37 ,14,,,5
YouGov,,2010-09-10,42,37,14,,,
YouGov/Sunday Times,,2010-09-10,42 ,38 ,14,,,4
Populus/Times,,2010-09-12,39 ,37 ,14,,,2
Ipsos-MORI/Reuters,,2010-09-12,37 ,37 ,15,,,0
YouGov,,2010-09-12,42,38,14,,,
Populus,,2010-09-12,39,37,14,,,
YouGov/Sun,,2010-09-13,41 ,38 ,12,,,3
YouGov/Sun,,2010-09-14,40 ,39 ,12,,,1
YouGov,,2010-09-14,41,38,12,,,
YouGov/Sun,,2010-09-15,42 ,39 ,12,,,3
YouGov,,2010-09-15,40,39,12,,,
ComRes/Independent on Sunday (O),,2010-09-16,37 ,35 ,15,,,2
YouGov/Sun,,2010-09-16,41 ,38 ,12,,,3
Ipsos-Mori,,2010-09-16,37,37,15,,,
YouGov,,2010-09-16,42,39,12,,,
YouGov/Sunday Times,,2010-09-17,41 ,39 ,13,,,2
YouGov,,2010-09-17,41,38,12,,,
Opinium/,,2010-09-17,37 ,35 ,13,,,2
ComRes,,2010-09-19,37,35,15,,,
YouGov,,2010-09-19,41,39,13,,,
YouGov/Sun,,2010-09-20,42 ,38 ,11,,,4
YouGov/Sun,,2010-09-21,39 ,39 ,13,,,0
YouGov,,2010-09-21,42,38,11,,,
YouGov/Sun,,2010-09-22,43 ,36 ,14,,,7
YouGov,,2010-09-22,39,39,13,,,
YouGov/Sun,,2010-09-23,41 ,37 ,13,,,4
YouGov,,2010-09-23,43,36,14,,,
YouGov/Sunday Times,,2010-09-24,39 ,38 ,15,,,1
YouGov,,2010-09-24,41,37,13,,,
YouGov,,2010-09-26,39,38,15,,,
YouGov/Sun,,2010-09-27,39 ,40 ,12,,,-1
YouGov/Sun,,2010-09-28,41 ,40 ,12,,,1
YouGov,,2010-09-28,39,40,12,,,
YouGov,,2010-09-29,41,40,12,,,
YouGov/Sun,,2010-09-29,41 ,39 ,12,,,2
ICM/Guardian,,2010-09-29,35 ,37 ,18,,,-2
YouGov/Sun,,2010-09-30,41 ,39 ,12,,,2
YouGov,,2010-09-30,41,39,12,,,
ICM,,2010-09-30,35,37,18,,,
ComRes/Independent (O),,2010-10-01,39 ,36 ,15,,,3
YouGov/Sunday Times,,2010-10-01,39 ,41 ,11,,,-2
BPIX/Mail on Sunday,,2010-10-01,41 ,37 ,13,,,4
Angus Reid/Sunday Express,,2010-10-01,35 ,38 ,16,,,-3
YouGov,,2010-10-01,41,39,12,,,
ComRes,,2010-10-02,39,36,15,,,
YouGov,,2010-10-03,39,41,11,,,
YouGov/Sun,,2010-10-04,41 ,39 ,12,,,2
YouGov,,2010-10-05,41,39,12,,,
YouGov/Sun,,2010-10-05,43 ,39 ,11,,,4
YouGov,,2010-10-06,43,39,11,,,
YouGov/Sun,,2010-10-06,42 ,40 ,11,,,2
YouGov,,2010-10-07,42,40,11,,,
ICM/Sunday Telegraph,,2010-10-07,38 ,34 ,18,,,4
ICM,,2010-10-07,38,34,18,,,
YouGov/Sun,,2010-10-07,42 ,38 ,12,,,4
YouGov,,2010-10-08,42,38,12,,,
YouGov/Sunday Times,,2010-10-08,42 ,38 ,12,,,4
YouGov,,2010-10-11,42,38,12,,,
YouGov/Sun,,2010-10-11,42 ,38 ,12,,,4
YouGov/Sun,,2010-10-12,43 ,36 ,12,,,7
YouGov,,2010-10-13,43,36,12,,,
YouGov/Sun,,2010-10-13,41 ,40 ,11,,,1
YouGov/Sun,,2010-10-14,42 ,38 ,12,,,4
YouGov,,2010-10-14,41,40,11,,,
YouGov,,2010-10-15,42,38,12,,,
ComRes/Independent on Sunday (O),,2010-10-15,40 ,34 ,14,,,6
YouGov,,2010-10-16,41,39,11,,,
Ipsos-MORI/Reuters,,2010-10-17,39 ,36 ,14,,,3
YouGov/Sunday Times,,2010-10-17,41 ,39 ,11,,,2
ComRes,,2010-10-17,40,34,14,,,
YouGov,,2010-10-17,41,39,11,,,
YouGov/Sun,,2010-10-18,41 ,39 ,12,,,2
YouGov,,2010-10-19,41,39,12,,,
YouGov/Sun,,2010-10-19,42 ,39 ,11,,,3
Ipsos-Mori,,2010-10-19,39,36,14,,,
YouGov/Sun,,2010-10-20,41 ,39 ,11,,,2
YouGov,,2010-10-20,42,39,11,,,
YouGov,,2010-10-21,41,39,11,,,
YouGov/Sun,,2010-10-21,41 ,40 ,10,,,1
YouGov/Sunday Times,,2010-10-22,41 ,40 ,10,,,1
ICM/News of the World,,2010-10-22,40 ,36 ,16,,,4
YouGov,,2010-10-22,41,40,10,,,
ICM/Guardian,,2010-10-24,39 ,36 ,16,,,3
Populus/Times,,2010-10-24,37 ,38 ,15,,,-1
Populus,,2010-10-24,37,38,15,,,
YouGov,,2010-10-24,41,40,10,,,
YouGov/Sun,,2010-10-25,40 ,40 ,11,,,0
ICM,,2010-10-25,39,36,16,,,
YouGov,,2010-10-26,40,40,11,,,
YouGov/Sun,,2010-10-26,40 ,38 ,12,,,2
YouGov,,2010-10-27,40,38,12,,,
YouGov/Sun,,2010-10-27,41 ,39 ,12,,,2
YouGov/Sun,,2010-10-28,41 ,39 ,11,,,2
Angus Reid/,,2010-10-28,35 ,37 ,15,,,-2
YouGov,,2010-10-28,41,39,12,,,
YouGov,,2010-10-29,41,39,11,,,
Opinium/,,2010-10-29,38 ,35 ,13,,,3
YouGov/Sunday Times,,2010-10-29,42 ,37 ,13,,,5
ComRes/Independent,,2010-10-30,35 ,37 ,16,,,-2
YouGov,,2010-10-31,42,37,13,,,
YouGov/Sun,,2010-11-01,41 ,39 ,11,,,2
YouGov,,2010-11-02,41,39,11,,,
ComRes,,2010-11-02,35,37,16,,,
YouGov/Sun,,2010-11-02,41 ,40 ,11,,,1
YouGov,,2010-11-03,41,40,11,,,
YouGov/Sun,,2010-11-03,40 ,40 ,9,,,0
YouGov/Sun,,2010-11-04,40 ,39 ,11,,,1
YouGov,,2010-11-04,40,40,9,,,
YouGov,,2010-11-05,40,39,11,,,
YouGov/Sunday Times,,2010-11-05,40 ,39 ,12,,,1
YouGov,,2010-11-07,40,39,12,,,
YouGov/Sun,,2010-11-08,42 ,39 ,11,,,3
YouGov,,2010-11-09,42,39,11,,,
YouGov/Sun,,2010-11-09,40 ,39 ,13,,,1
Opinium/,,2010-11-09,39 ,33 ,14,,,6
YouGov/Sun,,2010-11-10,42 ,37 ,11,,,5
YouGov,,2010-11-10,40,39,13,,,
YouGov,,2010-11-11,42,37,11,,,
YouGov/Sun,,2010-11-11,40 ,40 ,10,,,0
YouGov,,2010-11-12,40,40,10,,,
YouGov/Sunday Times,,2010-11-12,39 ,41 ,10,,,-2
YouGov,,2010-11-14,39,41,10,,,
Ipsos-MORI/Reuters,,2010-11-14,36 ,39 ,14,,,-3
